,Zipcode,City,Area ID,Area Name,Crime Code,Crime Code Description,Date Occurred,Date Reported,DR #,Latitude,Longitude,Location,MO Code,Premise Code,Reporting District,Time Occurred,mo_descriptions
252,90079,los angeles,01,Central,440,THEFT PLAIN - PETTY ($950 & UNDER),2010-06-29,2010-06-29,100101140,34.0495,-118.2494,400 S  BROADWAY,0344,101,0143,1530,{'0344': 'Removes vict property'}
253,90013,los angeles,01,Central,626,INTIMATE PARTNER - SIMPLE ASSAULT,2010-06-30,2010-07-01,100101148,34.0416,-118.2398,500    CERES                        AV,0400 0408 0416 2000,501,0158,2115,"{'0400': 'Force used', '0408': 'Choked/uses choke hold/Strangulation/Suffocation', '0416': 'Hit-Hit w/ weapon', '2000': 'Domestic violence'}"
254,90014,los angeles,01,Central,210,ROBBERY,2010-07-02,2010-07-02,100101153,34.0449,-118.2458,300 E  5TH                          ST,0305 0344 0416 0429,102,0147,0200,"{'0305': 'Attacks from rear', '0344': 'Removes vict property', '0416': 'Hit-Hit w/ weapon', '0429': 'Vict knocked to ground'}"
255,90014,los angeles,01,Central,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",2010-07-03,2010-07-03,100101162,34.0423,-118.2452,6TH,0305 0411 0906,101,0156,1330,"{'0305': 'Attacks from rear', '0411': 'Cut/stabbed', '0906': 'Gangs'}"
256,90017,los angeles,01,Central,946,OTHER MISCELLANEOUS CRIME,2010-07-04,2010-07-04,100101166,34.0450,-118.2640,800 W  OLYMPIC                      BL,1501,101,0171,0220,{'1501': 'Other MO (see rpt)'}
257,90013,los angeles,01,Central,626,INTIMATE PARTNER - SIMPLE ASSAULT,2010-07-04,2010-07-05,100101167,34.0450,-118.2435,SAN PEDRO,0400 2000,104,0148,2330,"{'0400': 'Force used', '2000': 'Domestic violence'}"
258,90071,los angeles,01,Central,901,VIOLATION OF RESTRAINING ORDER,2010-07-05,2010-07-05,100101172,34.0503,-118.2504,4TH,2000,210,0143,0115,{'2000': 'Domestic violence'}
259,90071,los angeles,01,Central,624,BATTERY - SIMPLE ASSAULT,2010-07-05,2010-07-05,100101173,34.0503,-118.2504,4TH,0400 0416 0429,210,0143,0110,"{'0400': 'Force used', '0416': 'Hit-Hit w/ weapon', '0429': 'Vict knocked to ground'}"
260,90017,los angeles,01,Central,210,ROBBERY,2010-07-05,2010-07-05,100101174,34.0487,-118.2588,7TH,0305 0334 0344 0411 1206,101,0162,0230,"{'0305': 'Attacks from rear', '0334': 'Brandishes weapon', '0344': 'Removes vict property', '0411': 'Cut/stabbed', '1206': 'Under influence drugs/liquor'}"
261,90012,los angeles,01,Central,330,BURGLARY FROM VEHICLE,2010-07-06,2010-07-06,100101179,34.0639,-118.2446,NEW DEPOT                    ST,0344 0358 1251 1307 1402 1609,101,0111,1500,"{'0344': 'Removes vict property', '0358': 'Forces Entry', '1251': 'Victim was a student', '1307': 'Breaks window', '1402': 'Evidence Booked (any crime)', '1609': 'Smashed'}"
262,90014,los angeles,01,Central,210,ROBBERY,2010-07-07,2010-07-07,100101182,34.0407,-118.2468,7TH                          ST,0344 0411,102,0176,1610,"{'0344': 'Removes vict property', '0411': 'Cut/stabbed'}"
263,90014,los angeles,01,Central,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",2010-07-08,2010-07-08,100101189,34.0467,-118.2485,MAIN                         ST,0416 0429 1402,101,0154,2135,"{'0416': 'Hit-Hit w/ weapon', '0429': 'Vict knocked to ground', '1402': 'Evidence Booked (any crime)'}"
264,90079,los angeles,01,Central,220,ATTEMPTED ROBBERY,2010-07-08,2010-07-08,100101190,34.0482,-118.2472,MAIN                         ST,0334 0400 1402,210,0144,1040,"{'0334': 'Brandishes weapon', '0400': 'Force used', '1402': 'Evidence Booked (any crime)'}"
265,90014,los angeles,01,Central,626,INTIMATE PARTNER - SIMPLE ASSAULT,2010-07-09,2010-07-09,100101191,34.0430,-118.2571,9TH,0416 2000,108,0185,0235,"{'0416': 'Hit-Hit w/ weapon', '2000': 'Domestic violence'}"
266,90015,los angeles,01,Central,762,LEWD CONDUCT,2010-07-10,2010-07-10,100101197,34.0457,-118.2665,GEORGIA,1402,102,0171,0700,{'1402': 'Evidence Booked (any crime)'}
267,90013,los angeles,01,Central,624,BATTERY - SIMPLE ASSAULT,2010-07-10,2010-07-10,100101198,34.0454,-118.2422,4TH                          ST,0416,101,0148,1715,{'0416': 'Hit-Hit w/ weapon'}
268,90014,los angeles,01,Central,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",2010-07-11,2010-07-11,100101203,34.0455,-118.2452,WALL,0416,102,0146,1435,{'0416': 'Hit-Hit w/ weapon'}
269,90014,los angeles,01,Central,930,CRIMINAL THREATS - NO WEAPON DISPLAYED,2010-07-12,2010-07-12,100101204,34.0452,-118.2569,OLIVE,0400 1402,124,0162,0055,"{'0400': 'Force used', '1402': 'Evidence Booked (any crime)'}"
270,90014,los angeles,01,Central,624,BATTERY - SIMPLE ASSAULT,2010-07-12,2010-07-12,100101205,34.0446,-118.2450,5TH                          ST,0416,101,0166,1700,{'0416': 'Hit-Hit w/ weapon'}
271,90071,los angeles,01,Central,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",2010-07-12,2010-07-12,100101206,34.0571,-118.2509,800 W  1ST                          ST,0329 1300,122,0132,1300,"{'0329': 'Vandalized', '1300': 'Vehicle involved'}"
272,90012,los angeles,01,Central,623,BATTERY POLICE (SIMPLE),2010-07-13,2010-07-13,100101209,34.0650,-118.2384,HILL                         ST,0400 0416 1212 1402,102,0111,1240,"{'0400': 'Force used', '0416': 'Hit-Hit w/ weapon', '1212': 'LA Police Officer', '1402': 'Evidence Booked (any crime)'}"
273,90013,los angeles,01,Central,210,ROBBERY,2010-07-13,2010-07-13,100101213,34.0450,-118.2435,SAN PEDRO,0344 0400 0416,101,0148,2105,"{'0344': 'Removes vict property', '0400': 'Force used', '0416': 'Hit-Hit w/ weapon'}"
274,90017,los angeles,01,Central,442,SHOPLIFTING - PETTY THEFT ($950 & UNDER),2010-07-14,2010-07-14,100101215,34.0480,-118.2577,700 W  7TH                          ST,1402,404,0162,1630,{'1402': 'Evidence Booked (any crime)'}
275,90014,los angeles,01,Central,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",2010-07-14,2010-07-15,100101217,34.0452,-118.2569,OLIVE                        ST,0416,203,0162,2330,{'0416': 'Hit-Hit w/ weapon'}
276,90014,los angeles,01,Central,946,OTHER MISCELLANEOUS CRIME,2010-07-15,2010-07-15,100101225,34.0439,-118.2514,700 S  MAIN                         ST,0906 1212 1402,101,0174,2040,"{'0906': 'Gangs', '1212': 'LA Police Officer', '1402': 'Evidence Booked (any crime)'}"
277,90014,los angeles,01,Central,624,BATTERY - SIMPLE ASSAULT,2010-07-15,2010-07-15,100101226,34.0435,-118.2471,6TH,0417 1212,122,0155,2100,"{'0417': 'Kicked', '1212': 'LA Police Officer'}"
278,90014,los angeles,01,Central,624,BATTERY - SIMPLE ASSAULT,2010-07-15,2010-07-15,100101227,34.0435,-118.2471,6TH,0416 1212,122,0155,2100,"{'0416': 'Hit-Hit w/ weapon', '1212': 'LA Police Officer'}"
279,90014,los angeles,01,Central,624,BATTERY - SIMPLE ASSAULT,2010-07-15,2010-07-15,100101228,34.0435,-118.2471,6TH,0400 0416 1212,101,0155,2100,"{'0400': 'Force used', '0416': 'Hit-Hit w/ weapon', '1212': 'LA Police Officer'}"
280,90014,los angeles,01,Central,210,ROBBERY,2010-07-15,2010-07-15,100101233,34.0398,-118.2413,6TH,0344 0416 0429,101,0158,2230,"{'0344': 'Removes vict property', '0416': 'Hit-Hit w/ weapon', '0429': 'Vict knocked to ground'}"
281,90014,los angeles,01,Central,220,ATTEMPTED ROBBERY,2010-07-15,2010-07-15,100101237,34.0445,-118.2558,HILL                         ST,0400,102,0162,1930,{'0400': 'Force used'}
282,90017,los angeles,01,Central,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",2010-07-16,2010-07-16,100101241,34.0480,-118.2560,600    WILSHIRE                     BL,0416,101,0152,1430,{'0416': 'Hit-Hit w/ weapon'}
283,90013,los angeles,01,Central,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",2010-07-16,2010-07-16,100101243,34.0435,-118.2427,500    CROCKER                      ST,0416 1402,102,0157,1815,"{'0416': 'Hit-Hit w/ weapon', '1402': 'Evidence Booked (any crime)'}"
284,90014,los angeles,01,Central,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",2010-07-16,2010-07-16,100101244,34.0428,-118.2461,SAN JULIAN                   ST,0400 0416 0417 0429 1402,101,0166,2200,"{'0400': 'Force used', '0416': 'Hit-Hit w/ weapon', '0417': 'Kicked', '0429': 'Vict knocked to ground', '1402': 'Evidence Booked (any crime)'}"
285,90014,los angeles,01,Central,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",2010-07-17,2010-07-17,100101245,34.0467,-118.2556,OLIVE                        ST,0329,203,0152,0440,{'0329': 'Vandalized'}
286,90014,los angeles,01,Central,624,BATTERY - SIMPLE ASSAULT,2010-07-17,2010-07-17,100101247,34.0446,-118.2450,5TH,0432 2000,101,0147,2130,"{'0432': 'Intimidation', '2000': 'Domestic violence'}"
287,90014,los angeles,01,Central,210,ROBBERY,2010-07-18,2010-07-18,100101250,34.0467,-118.2556,7TH,0337 0344 1402,101,0152,0420,"{'0337': 'Demands money', '0344': 'Removes vict property', '1402': 'Evidence Booked (any crime)'}"
288,90014,los angeles,01,Central,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",2010-07-18,2010-07-18,100101251,34.0412,-118.2474,7TH,0416 1402 2000,102,0156,1420,"{'0416': 'Hit-Hit w/ weapon', '1402': 'Evidence Booked (any crime)', '2000': 'Domestic violence'}"
289,90012,los angeles,01,Central,210,ROBBERY,2010-07-18,2010-07-18,100101252,34.0640,-118.2375,900 N  BROADWAY,0302 0344 0400,203,0111,1400,"{'0302': 'Aimed gun', '0344': 'Removes vict property', '0400': 'Force used'}"
290,90017,los angeles,01,Central,341,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",2010-07-18,2010-07-21,100101258,34.0450,-118.2640,800 W  OLYMPIC                      BL,0344 0416 0417 0429,735,0171,2200,"{'0344': 'Removes vict property', '0416': 'Hit-Hit w/ weapon', '0417': 'Kicked', '0429': 'Vict knocked to ground'}"
291,90026,los angeles,01,Central,210,ROBBERY,2010-07-19,2010-07-19,100101259,34.0717,-118.2493,1200    INNES                        AV,0344 0416 0601 0906 0917,502,0101,1650,"{'0344': 'Removes vict property', '0416': 'Hit-Hit w/ weapon', '0601': 'Business', '0906': 'Gangs', '0917': ""Victim's Employment""}"
292,90015,los angeles,01,Central,210,ROBBERY,2010-07-19,2010-07-19,100101260,34.0437,-118.2652,FIGUEROA,0334 0337 0344 0416 1402,108,0171,2205,"{'0334': 'Brandishes weapon', '0337': 'Demands money', '0344': 'Removes vict property', '0416': 'Hit-Hit w/ weapon', '1402': 'Evidence Booked (any crime)'}"
293,90013,los angeles,01,Central,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",2010-07-21,2010-07-21,100101262,34.0426,-118.2412,5TH,0329 1300,122,0148,1700,"{'0329': 'Vandalized', '1300': 'Vehicle involved'}"
294,90014,los angeles,01,Central,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",2010-07-19,2010-07-22,100101264,34.0437,-118.2455,SAN JUIAN,0344 0400 1100,101,0156,0010,"{'0344': 'Removes vict property', '0400': 'Force used', '1100': 'Shots Fired'}"
295,90014,los angeles,01,Central,210,ROBBERY,2010-07-15,2010-07-22,100101269,34.0446,-118.2450,5TH                          ST,0344 0400,102,0156,2300,"{'0344': 'Removes vict property', '0400': 'Force used'}"
296,90017,los angeles,01,Central,442,SHOPLIFTING - PETTY THEFT ($950 & UNDER),2010-07-22,2010-07-22,100101273,34.0473,-118.2566,600 W  7TH                          ST,0344 0601 2004,403,0152,1510,"{'0344': 'Removes vict property', '0601': 'Business', '2004': 'Suspect is homeless/transient'}"
297,90015,los angeles,01,Central,624,BATTERY - SIMPLE ASSAULT,2010-07-24,2010-07-24,100101276,34.0342,-118.2636,BROADWAY,0319 0416,102,0195,0015,"{'0319': 'Profanity Used', '0416': 'Hit-Hit w/ weapon'}"
298,90015,los angeles,01,Central,649,DOCUMENT FORGERY / STOLEN FELONY,2010-07-25,2010-07-25,100101277,34.0383,-118.2633,300 W  PICO                         BL,1402,202,0182,1240,{'1402': 'Evidence Booked (any crime)'}
299,90013,los angeles,01,Central,812,CRM AGNST CHLD (13 OR UNDER) (14-15 & SUSP 10 YRS OLDER),2010-07-27,2010-07-28,100101283,34.0442,-118.2439,500 S  SAN PEDRO                    ST,0552,502,0156,0005,"{'0552': ""Suspect is Victim's Father""}"
300,90012,los angeles,01,Central,121,"RAPE, FORCIBLE",2010-07-24,2010-07-29,100101285,34.0589,-118.2412,500 N  HILL                         ST,0522 0906 1402,501,0111,0100,"{'0522': 'Touched', '0906': 'Gangs', '1402': 'Evidence Booked (any crime)'}"
301,90017,los angeles,01,Central,121,"RAPE, FORCIBLE",2010-07-29,2010-07-30,100101286,34.0480,-118.2577,700 S  HOPE                         ST,0527,203,0162,2255,{'0527': 'Actual Intercourse'}
302,90014,los angeles,01,Central,624,BATTERY - SIMPLE ASSAULT,2010-07-29,2010-07-29,100101287,34.0387,-118.2488,8TH                          ST,0416,102,0176,2050,{'0416': 'Hit-Hit w/ weapon'}
303,90014,los angeles,01,Central,210,ROBBERY,2010-07-30,2010-07-30,100101288,34.0423,-118.2452,6TH,0344 0416 0417 0906,101,0166,1400,"{'0344': 'Removes vict property', '0416': 'Hit-Hit w/ weapon', '0417': 'Kicked', '0906': 'Gangs'}"
304,90012,los angeles,01,Central,745,VANDALISM - MISDEAMEANOR ($399 OR UNDER),2010-08-01,2010-08-01,100101297,34.0673,-118.2499,900    EVERETT                      ST,0329,101,0101,0115,{'0329': 'Vandalized'}
305,90014,los angeles,01,Central,624,BATTERY - SIMPLE ASSAULT,2010-08-01,2010-08-01,100101298,34.0467,-118.2556,500 W  7TH                          ST,0400 0416 0429,101,0162,1100,"{'0400': 'Force used', '0416': 'Hit-Hit w/ weapon', '0429': 'Vict knocked to ground'}"
306,90012,los angeles,01,Central,624,BATTERY - SIMPLE ASSAULT,2010-08-01,2010-08-01,100101301,34.0583,-118.2378,MAIN                         ST,0400,102,0111,1500,{'0400': 'Force used'}
307,90017,los angeles,01,Central,440,THEFT PLAIN - PETTY ($950 & UNDER),2010-08-01,2010-08-01,100101302,34.0480,-118.2577,700 W  7TH                          ST,0344,404,0162,2030,{'0344': 'Removes vict property'}
308,90071,los angeles,01,Central,251,SHOTS FIRED AT INHABITED DWELLING,2010-07-31,2010-08-02,100101304,34.0535,-118.2560,400 S  FIGUEROA                     ST,1100 1402,602,0141,1200,"{'1100': 'Shots Fired', '1402': 'Evidence Booked (any crime)'}"
309,90017,los angeles,01,Central,440,THEFT PLAIN - PETTY ($950 & UNDER),2010-07-30,2010-08-01,100101305,34.0480,-118.2577,700 W  7TH                          ST,0344,404,0162,1630,{'0344': 'Removes vict property'}
310,90014,los angeles,01,Central,623,BATTERY POLICE (SIMPLE),2010-08-05,2010-08-05,100101307,34.0363,-118.2573,300 E  12TH                         ST,1212,102,0185,1410,{'1212': 'LA Police Officer'}
311,90014,los angeles,01,Central,745,VANDALISM - MISDEAMEANOR ($399 OR UNDER),2010-08-05,2010-08-06,100101309,34.0454,-118.2466,500    MAPLE                        AV,0329,503,0155,0804,{'0329': 'Vandalized'}
312,90015,los angeles,01,Central,210,ROBBERY,2010-08-06,2010-08-06,100101311,34.0331,-118.2599,1500    SANTEE                       ST,0302 0337 0344 0400,203,0195,1800,"{'0302': 'Aimed gun', '0337': 'Demands money', '0344': 'Removes vict property', '0400': 'Force used'}"
313,90012,los angeles,01,Central,354,THEFT OF IDENTITY,2010-07-27,2010-08-07,100101317,34.0563,-118.2374,800 N  ALAMEDA                      ST,1402,501,0119,1900,{'1402': 'Evidence Booked (any crime)'}
314,90014,los angeles,01,Central,310,BURGLARY,2010-08-06,2010-08-07,100101319,34.0413,-118.2517,300 E  8TH                          ST,0344 1307 1609,402,0176,1730,"{'0344': 'Removes vict property', '1307': 'Breaks window', '1609': 'Smashed'}"
315,90014,los angeles,01,Central,310,BURGLARY,2010-08-06,2010-08-07,100101320,34.0413,-118.2517,300 E  8TH                          ST,0324,203,0176,1730,{'0324': 'Takes money from register'}
316,90031,los angeles,01,Central,220,ATTEMPTED ROBBERY,2010-08-07,2010-08-07,100101324,34.0710,-118.2302,SOLANO,1300 1302,101,0111,1830,"{'1300': 'Vehicle involved', '1302': ""Suspect forced way into victim's vehicle""}"
317,90014,los angeles,01,Central,341,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",2010-08-11,2010-08-11,100101329,34.0412,-118.2474,500 E  7TH                          ST,0344 1402,502,0166,1630,"{'0344': 'Removes vict property', '1402': 'Evidence Booked (any crime)'}"
318,90014,los angeles,01,Central,231,ASSAULT WITH DEADLY WEAPON ON POLICE OFFICER,2010-08-11,2010-08-12,100101330,34.0423,-118.2452,6TH,0103 0319 0373 0416 0417 1212 1218 1402 2002,102,0166,2140,"{'0103': 'Crippled', '0319': 'Profanity Used', '0373': 'Handicapped/in wheelchair', '0416': 'Hit-Hit w/ weapon', '0417': 'Kicked', '1212': 'LA Police Officer', '1218': 'Victim was Homeless/Transient', '1402': 'Evidence Booked (any crime)', '2002': 'Suspect intoxicated/drunk'}"
319,90017,los angeles,01,Central,440,THEFT PLAIN - PETTY ($950 & UNDER),2010-08-11,2010-08-12,100101332,34.0480,-118.2577,700 W  7TH                          ST,0325,404,0162,2030,{'0325': 'Took merchandise'}
320,90014,los angeles,01,Central,330,BURGLARY FROM VEHICLE,2010-08-14,2010-08-14,100101341,34.0438,-118.2547,300 W  8TH                          ST,0321 1402 1606,101,0163,2200,"{'0321': 'Ransacked', '1402': 'Evidence Booked (any crime)', '1606': 'Open/unlocked'}"
321,90014,los angeles,01,Central,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",2010-08-15,2010-08-15,100101343,34.0394,-118.2496,8TH,0400 0417 1402,102,0176,0025,"{'0400': 'Force used', '0417': 'Kicked', '1402': 'Evidence Booked (any crime)'}"
322,90017,los angeles,01,Central,440,THEFT PLAIN - PETTY ($950 & UNDER),2010-08-15,2010-08-15,100101344,34.0451,-118.2604,600 W  9TH                          ST,0344 0346,203,0182,0150,"{'0344': 'Removes vict property', '0346': 'Snatch property and runs'}"
323,90012,los angeles,01,Central,626,INTIMATE PARTNER - SIMPLE ASSAULT,2010-08-15,2010-08-15,100101348,34.0655,-118.2387,900    CHUNG KING                   RD,0400,203,0111,1930,{'0400': 'Force used'}
324,90014,los angeles,01,Central,626,INTIMATE PARTNER - SIMPLE ASSAULT,2010-08-15,2010-08-15,100101349,34.0454,-118.2466,5TH                          ST,0416 2000,102,0146,1800,"{'0416': 'Hit-Hit w/ weapon', '2000': 'Domestic violence'}"
325,90014,los angeles,01,Central,626,INTIMATE PARTNER - SIMPLE ASSAULT,2010-08-15,2010-08-15,100101350,34.0454,-118.2466,5TH,0416 2000,102,0146,1730,"{'0416': 'Hit-Hit w/ weapon', '2000': 'Domestic violence'}"
326,90017,los angeles,01,Central,745,VANDALISM - MISDEAMEANOR ($399 OR UNDER),2010-08-16,2010-08-16,100101353,34.0473,-118.2601,800 S  FLOWER                       ST,0329,502,0162,0410,{'0329': 'Vandalized'}
327,90014,los angeles,01,Central,626,INTIMATE PARTNER - SIMPLE ASSAULT,2010-08-17,2010-08-18,100101355,34.0446,-118.2450,500    SAN JULIAN                   ST,0416 0906 2000,503,0156,2300,"{'0416': 'Hit-Hit w/ weapon', '0906': 'Gangs', '2000': 'Domestic violence'}"
328,90021,los angeles,01,Central,761,BRANDISH WEAPON,2010-08-18,2010-08-18,100101356,34.0364,-118.2406,7TH,0334 0906 1402,101,0158,1500,"{'0334': 'Brandishes weapon', '0906': 'Gangs', '1402': 'Evidence Booked (any crime)'}"
329,90014,los angeles,01,Central,210,ROBBERY,2010-08-19,2010-08-20,100101364,34.0446,-118.2490,200 E  6TH                          ST,0416 1218 2004,101,0155,2345,"{'0416': 'Hit-Hit w/ weapon', '1218': 'Victim was Homeless/Transient', '2004': 'Suspect is homeless/transient'}"
330,90015,los angeles,01,Central,624,BATTERY - SIMPLE ASSAULT,2010-08-19,2010-08-20,100101365,34.0395,-118.2656,1300 S  HOPE                         ST,0416,501,0192,2300,{'0416': 'Hit-Hit w/ weapon'}
331,90014,los angeles,01,Central,624,BATTERY - SIMPLE ASSAULT,2010-08-19,2010-08-20,100101367,34.0446,-118.2450,500    SAN JULIAN                   ST,0416,102,0156,2225,{'0416': 'Hit-Hit w/ weapon'}
332,90017,los angeles,01,Central,442,SHOPLIFTING - PETTY THEFT ($950 & UNDER),2010-08-20,2010-08-20,100101369,34.0480,-118.2577,700 W  7TH                          ST,0325,404,0162,2000,{'0325': 'Took merchandise'}
333,90014,los angeles,01,Central,624,BATTERY - SIMPLE ASSAULT,2010-08-20,2010-08-20,100101370,34.0423,-118.2452,6TH                          ST,0416 1202,102,0156,2045,"{'0416': 'Hit-Hit w/ weapon', '1202': 'Aged (60 & over) or blind/crippled/unable to care for self'}"
334,90014,los angeles,01,Central,210,ROBBERY,2010-08-21,2010-08-21,100101371,34.0428,-118.2461,SAN JULIAN                   ST,0344 0416 0906,101,0166,1600,"{'0344': 'Removes vict property', '0416': 'Hit-Hit w/ weapon', '0906': 'Gangs'}"
335,90015,los angeles,01,Central,624,BATTERY - SIMPLE ASSAULT,2010-08-22,2010-08-22,100101375,34.0457,-118.2665,COTTAGE HOME                 PL,0416 0429,108,0171,0210,"{'0416': 'Hit-Hit w/ weapon', '0429': 'Vict knocked to ground'}"
336,90012,los angeles,01,Central,888,TRESPASSING,2010-08-23,2010-08-23,100101378,34.0563,-118.2374,800 N  ALAMEDA                      ST,,215,0119,0020,{'nan': 'Unknown code'}
337,90015,los angeles,01,Central,745,VANDALISM - MISDEAMEANOR ($399 OR UNDER),2010-08-23,2010-08-23,100101379,34.0347,-118.2645,HILL,0329,102,0192,0030,{'0329': 'Vandalized'}
338,90017,los angeles,01,Central,946,OTHER MISCELLANEOUS CRIME,2010-08-24,2010-08-25,100101382,34.0480,-118.2577,700 W  7TH                          ST,,404,0162,1950,{'nan': 'Unknown code'}
339,90014,los angeles,01,Central,624,BATTERY - SIMPLE ASSAULT,2010-08-24,2010-08-25,100101384,34.0419,-118.2485,7TH,2000,101,0158,2330,{'2000': 'Domestic violence'}
340,90013,los angeles,01,Central,210,ROBBERY,2010-08-24,2010-08-24,100101385,34.0480,-118.2438,3RD                          ST,0334 0342 0344 0355 0370 0416 0420 0429,101,0138,2000,"{'0334': 'Brandishes weapon', '0342': 'Multi-susps overwhelm', '0344': 'Removes vict property', '0355': 'Demanded property other than money', '0370': 'Frisks victim/pats down victim/searches victim', '0416': 'Hit-Hit w/ weapon', '0420': 'Searched', '0429': 'Vict knocked to ground'}"
341,90014,los angeles,01,Central,310,BURGLARY,2010-08-27,2010-08-28,100101407,34.0408,-118.2511,400 E  8TH                          ST,0344 0601 1601 1607,203,0176,2255,"{'0344': 'Removes vict property', '0601': 'Business', '1601': 'Bodily Force', '1607': 'Pried'}"
342,90013,los angeles,01,Central,210,ROBBERY,2010-09-04,2010-09-04,100101417,34.0442,-118.2439,500 S  SAN PEDRO                    ST,0329 0344 0416,102,0156,1540,"{'0329': 'Vandalized', '0344': 'Removes vict property', '0416': 'Hit-Hit w/ weapon'}"
343,90021,los angeles,01,Central,210,ROBBERY,2010-09-04,2010-09-04,100101419,34.0359,-118.2344,1800    INDUSTRIAL                   ST,0344 0400,202,0159,1735,"{'0344': 'Removes vict property', '0400': 'Force used'}"
344,90014,los angeles,13,Newton,623,BATTERY POLICE (SIMPLE),2010-09-04,2010-09-04,100101421,34.0376,-118.2531,WALL,0400 1212,101,1303,1420,"{'0400': 'Force used', '1212': 'LA Police Officer'}"
345,90014,los angeles,13,Newton,623,BATTERY POLICE (SIMPLE),2010-09-04,2010-09-04,100101422,34.0369,-118.2522,OLYMPIC,0400 1212,101,1303,1420,"{'0400': 'Force used', '1212': 'LA Police Officer'}"
346,90014,los angeles,01,Central,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",2010-09-04,2010-09-04,100101423,34.0423,-118.2452,6TH,0411 1402,102,0156,1920,"{'0411': 'Cut/stabbed', '1402': 'Evidence Booked (any crime)'}"
347,90015,los angeles,01,Central,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",2010-09-05,2010-09-05,100101424,34.0342,-118.2636,BROADWAY,0400 1402,102,0195,0130,"{'0400': 'Force used', '1402': 'Evidence Booked (any crime)'}"
348,90014,los angeles,01,Central,210,ROBBERY,2010-09-05,2010-09-06,100101425,34.0423,-118.2452,6TH,0344 0416 0417 0429,102,0156,1900,"{'0344': 'Removes vict property', '0416': 'Hit-Hit w/ weapon', '0417': 'Kicked', '0429': 'Vict knocked to ground'}"
349,90014,los angeles,01,Central,930,CRIMINAL THREATS - NO WEAPON DISPLAYED,2010-09-06,2010-09-07,100101427,34.0459,-118.2545,700 S  HILL                         ST,0334 0421,101,0162,2145,"{'0334': 'Brandishes weapon', '0421': 'Threaten to kill'}"
350,90014,los angeles,01,Central,930,CRIMINAL THREATS - NO WEAPON DISPLAYED,2010-09-06,2010-09-07,100101428,34.0445,-118.2523,700 S  SPRING                       ST,0334 0421,102,0163,2130,"{'0334': 'Brandishes weapon', '0421': 'Threaten to kill'}"
351,90013,los angeles,01,Central,647,THROWING OBJECT AT MOVING VEHICLE,2010-09-08,2010-09-08,100101429,34.0485,-118.2447,3RD,0400,101,0135,0930,{'0400': 'Force used'}
352,90013,los angeles,01,Central,341,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",2010-09-08,2010-09-09,100101435,34.0478,-118.2454,200    BOYD                         ST,,102,0138,1155,{'nan': 'Unknown code'}
353,90079,los angeles,01,Central,624,BATTERY - SIMPLE ASSAULT,2010-09-12,2010-09-12,100101438,34.0482,-118.2472,400 S  MAIN                         ST,0416 0429 2000,502,0144,1315,"{'0416': 'Hit-Hit w/ weapon', '0429': 'Vict knocked to ground', '2000': 'Domestic violence'}"
354,90012,los angeles,01,Central,745,VANDALISM - MISDEAMEANOR ($399 OR UNDER),2010-09-12,2010-09-12,100101439,34.0588,-118.2458,GRAND,0329 1402,708,0112,2100,"{'0329': 'Vandalized', '1402': 'Evidence Booked (any crime)'}"
355,90015,los angeles,01,Central,310,BURGLARY,2010-09-13,2010-09-13,100101441,34.0375,-118.2700,1600 S  FIGUEROA                     ST,0344 1402 1609,203,0192,0250,"{'0344': 'Removes vict property', '1402': 'Evidence Booked (any crime)', '1609': 'Smashed'}"
356,90014,los angeles,01,Central,310,BURGLARY,2010-09-12,2010-09-13,100101442,34.0467,-118.2556,500 W  7TH                          ST,0344 1402 1607,210,0162,2300,"{'0344': 'Removes vict property', '1402': 'Evidence Booked (any crime)', '1607': 'Pried'}"
357,90014,los angeles,01,Central,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",2010-09-18,2010-09-18,100101451,34.0423,-118.2452,600 S  SAN PEDRO                    ST,0416 1402,148,0166,0555,"{'0416': 'Hit-Hit w/ weapon', '1402': 'Evidence Booked (any crime)'}"
